4578 46085
0 hey 158
1 sir 11
2 i 1589
3 have 384
4 a 723
5 question 16
6 on 517
7 software 16
8 am 205
9 doing 63
10 that 342
11 timeline 5
12 for 519
13 john 12
14 but 185
15 trying 28
16 name 21
17 the 939
18 identity 5
19 guys 64
20 event 20
21 and 725
22 next 46
23 ha 9
24 s 9
25 same 18
26 as 99
27 first 19
28 it 603
29 will 325
30 not 306
31 let 96
32 me 412
33 to 1330
34 second 6
35 is 611
36 there 180
37 way 109
38 around 61
39 or 180
40 some 140
41 thing 18
42 do 237
43 allow 4
44 field 2
45 must 10
46 be 337
47 unique 2
48 you 1120
49 can 280
50 use 24
51 label 2
52 instead 13
53 ok 325
54 thank 92
55 u 570
56 go 112
57 item 6
58 properties 1
59 select 4
60 kewl 39
61 copy 12
62 entire 3
63 paste 3
64 should 81
65 able 24
66 an 55
67 anything 45
68 chart 7
69 yes 124
70 hmmm 2
71 right 52
72 click 5
73 hit 17
74 else 22
75 where 76
76 just 260
77 rehighlights 1
78 was 176
79 duplicate 1
80 think 88
81 duplicates 1
82 in 564
83 exact 2
84 physical 1
85 location 3
86 see 146
87 if 269
88 stacked 1
89 other 34
90 one 82
91 tried 14
92 top 9
93 change 18
94 date 7
95 time 142
96 stacking 1
97 moves 1
98 stack 1
99 then 83
100 hmm 8
101 guess 14
102 may 52
103 recreate 2
104 wait 33
105 remember 15
106 how 116
107 problem 22
108 checking 10
109 new 31
110 back 113
111 into 27
112 your 275
113 ill 107
114 give 42
115 shot 10
116 yup 18
117 yep 10
118 worked 7
119 increments 1
120 are 352
121 close 11
122 stacks 1
123 events 9
124 of 342
125 each 14
126 spread 2
127 them 88
128 out 248
129 got 210
130 drag 2
131 with 276
132 arrow 1
133 hand 6
134 unpinned 1
135 when 174
136 two 26
137 people 16
138 arguing 2
139 would 100
140 show 11
141 different 10
142 bubbles 1
143 link 8
144 together 21
145 description 1
146 argument 1
147 more 54
148 involved 3
149 linked 3
150 subjects 2
151 last 47
152 dance 2
153 mary 4
154 jane 8
155 tonight 140
156 ta 22
157 pass 8
158 piss 7
159 test 8
160 couple 11
161 months 7
162 so 305
163 this 141
164 while 21
165 he 147
166 entered 2
167 regular 5
168 entity 2
169 shows 9
170 male 6
171 figure 13
172 female 5
173 shouldnt 4
174 what 215
175 look 33
176 at 327
177 tabs 2
178 types 1
179 above 4
180 icons 1
181 make 64
182 main 8
183 person 4
184 add 8
185 associate 3
186 under 12
187 almost 22
188 like 124
189 now 174
190 below 2
191 no 252
192 only 46
193 incidents 1
194 standard 2
195 entities 2
196 dont 119
197 appear 1
198 squares 1
199 icon 2
200 because 20
201 multiple 2
202 represent 1
203 title 1
204 photo 2
205 example 1
206 off 94
207 get 220
208 idea 7
209 him 77
210 all 133
211 hang 17
212 quite 2
213 account 19
214 computer 25
215 install 9
216 tell 52
217 ready 24
218 alright 5
219 says 19
220 remote 6
221 users 1
222 connected 1
223 need 135
224 ur 115
225 login 8
226 password 16
227 security 4
228 reasons 2
229 temporarily 1
230 by 119
231 ctrl 1
232 alt 1
233 del 1
234 temp 2
235 pw 1
236 ive 13
237 given 2
238 his 64
239 email 33
240 before 40
241 march 1
242 rd 2
243 found 21
244 mentioning 2
245 cant 64
246 find 41
247 lol 194
248 worrys 2
249 again 52
250 sent 29
251 outlook 4
252 contact 8
253 never 24
254 emailed 4
255 wrote 3
256 down 45
257 number 18
258 mention 2
259 info 4
260 wan 38
261 na 99
262 snort 6
263 line 16
264 wme 1
265 ahh 3
266 ic 4
267 b 55
268 here 106
269 dinner 36
270 tim 14
271 done 42
272 working 32
273 roommates 1
274 car 15
275 we 359
276 r 62
277 coming 68
278 over 78
279 she 185
280 needs 16
281 someone 28
282 present 2
283 doe 11
284 they 135
285 pay 15
286 big 19
287 bucks 3
288 front 7
289 both 34
290 call 122
291 her 163
292 whats 37
293 called 26
294 its 69
295 good 154
296 ya 33
297 sure 98
298 nice 45
299 premade 1
300 template 1
301 layouts 2
302 makes 5
303 worse 7
304 mess 10
305 adjusting 2
306 sucks 18
307 dam 2
308 lot 20
309 lines 5
310 version 12
311 very 43
312 carefully 1
313 take 74
314 space 1
315 everything 22
316 yourself 6
317 spend 9
318 sometime 12
319 spreading 1
320 want 126
321 day 82
322 half 10
323 gone 12
324 did 112
325 put 31
326 probably 38
327 fine 26
328 timelines 1
329 kind 6
330 pain 13
331 connections 1
332 being 15
333 move 10
334 edit 1
335 objects 1
336 set 17
337 free 30
338 road 2
339 eta 4
340 passed 14
341 data 4
342 loss 6
343 try 32
344 print 6
345 plotter 3
346 export 6
